epoch,train_loss,val_loss,boundary_loss,mask_loss,learning_rate
1,0.6088422358810127,0.558323601881663,0.5869646072387695,0.5392295718193054,0.0001
2,0.5331299928101626,0.5006324748198191,0.5108955303827921,0.4937904112868839,0.0001
3,0.506854435066124,0.48298641708162093,0.45657745003700256,0.5005923675166236,0.0001
4,0.4820473457311655,0.45314092106289333,0.43373948997921413,0.4660751786496904,0.0001
5,0.46064768363903097,0.465003059970008,0.4400515490108066,0.4816373719109429,0.0001
6,0.44982896880670026,0.4337642523977492,0.40159697002834743,0.45520910289552474,0.0001
7,0.43445498912365405,0.4585577580663893,0.4238302210966746,0.4817094173696306,0.0001
8,0.41847945149842797,0.4271720548470815,0.3998362157079909,0.4453959067662557,0.0001
9,0.4060846609728677,0.4277010096444024,0.38430498374833,0.4566316737069024,0.0001
10,0.3940310071815144,0.41204963127772015,0.379851821396086,0.4335148202048408,0.0001
11,0.3816463060967334,0.4055892792012956,0.36542072229915196,0.43236830830574036,0.0001
12,0.37136633326480917,0.41148995690875584,0.33691660894287956,0.4612055155966017,0.0001
13,0.3617251503777194,0.3733968966537052,0.29482247432072956,0.42577982279989457,0.0001
14,0.35121064294468274,0.37334922949473065,0.33087918493482804,0.4016625616285536,0.0001
15,0.34358004122585445,0.3379656606250339,0.2573549167977439,0.3917061454719967,0.0001
16,0.3346343609419736,0.35928546057807076,0.28827386763360763,0.40662650267283124,0.0001
17,0.3211161889039077,0.3423142002688514,0.29422616296344334,0.37437287635273403,0.0001
18,0.3118252711636679,0.331136061085595,0.2740170839760039,0.36921535597907174,0.0001
19,0.3074690370590656,0.33072595132721794,0.2452515959739685,0.38770883282025653,0.0001
20,0.3092284531562359,0.33814754088719684,0.2604983730448617,0.3899136417441898,0.0001
21,0.2930006528055513,0.31235387590196395,0.24631435838010576,0.35638019773695206,0.0001
22,0.28609362651001324,0.3324512177043491,0.24087437490622202,0.393502425816324,0.0001
23,0.27732978819252607,0.30482497480180526,0.22851179705725777,0.35570042332013446,0.0001
24,0.2768044117596242,0.35336334341102177,0.20805619491471183,0.4502347707748413,0.0001
25,0.27360595704673174,0.30998677346441483,0.23096474839581382,0.36266809867488015,0.0001
26,0.2590662730591638,0.29509302642610336,0.2150874121321572,0.3484300871690114,0.0001
27,0.2540408291599967,0.3024219771226247,0.19741627905103895,0.37242575652069515,0.0001
28,0.25652272360665457,0.28210319578647614,0.19182210167249045,0.34229057364993626,0.0001
29,0.2451899376782504,0.29240286019113326,0.19625646041499245,0.35650044679641724,0.0001
30,0.24022853916341608,0.2908464123805364,0.18508694569269815,0.36135271688302356,0.0001
31,0.2339101615664247,0.2956152359644572,0.18692462146282196,0.3680756323867374,0.0001
32,0.23276646319147828,0.2756276312801573,0.17892947461869982,0.34009306463930344,0.0001
33,0.22241449859235193,0.2652989361021254,0.16961069073941973,0.32909107042683494,0.0001
34,0.21723772585391998,0.26597276826699573,0.16501748892996046,0.33327627513143754,0.0001
35,0.21964401490502544,0.2902512417899238,0.15942742923895517,0.3774670908848445,0.0001
36,0.21187525677990604,0.26675066351890564,0.16106102698379093,0.33721040354834664,0.0001
37,0.2088686055564261,0.28707440694173175,0.16321154435475668,0.36964962879816693,0.0001
38,0.21002067606170455,0.2819585055112839,0.14670144352647993,0.3721298740969764,0.0001
39,0.20782844354579974,0.26469270057148403,0.16133996844291687,0.3335945126083162,0.0001
40,0.216215678817266,0.2790445370806588,0.1532505386405521,0.36290718615055084,0.0001
41,0.22286680572992795,0.26717226372824776,0.14163690391514036,0.35086248649491203,0.0001
42,0.2071658961184613,0.2692664563655853,0.13959367242124346,0.35571496354209053,0.0001
43,0.19782100443716172,0.25603947540124256,0.1395118021302753,0.33372457325458527,0.0001
44,0.19191662212470909,0.2545369631714291,0.1339718360039923,0.3349136975076463,0.0001
45,0.18761148777875034,0.25432011153962875,0.1350430655810568,0.3338381250699361,0.0001
46,0.18373023399284907,0.25443189011679757,0.13397237492932212,0.33473821646637386,0.0001
47,0.17866377184143314,0.2519785033331977,0.13678643272982705,0.3287732005119324,0.0001
48,0.17489355192943054,0.24616347750027975,0.13105960769785774,0.32289937304125893,0.0001
49,0.17455117946321314,0.2482514331738154,0.1311895309223069,0.3262926820251677,0.0001
50,0.16821113654545375,0.2562493483225505,0.1264228696624438,0.34280031422774,0.0001
51,0.1648985126188823,0.25010015236006844,0.12294739153650072,0.334868644674619,0.0001
52,0.16422053416828056,0.2504552768336402,0.12199325859546661,0.3360966046651204,0.0001
53,0.16337279472258184,0.24668525324927437,0.12351382937696245,0.3287995093398624,0.0001
54,0.16083332992993393,0.24495772355132633,0.12067521860202153,0.32781271305349136,0.0001
55,0.15835524969673775,0.24761642515659332,0.12269939813348982,0.33089443213409847,0.0001
56,0.15683743715673298,0.2505478411912918,0.12000394115845363,0.33757709297868943,0.0001
57,0.15967466014546233,0.23900714682208168,0.1185021988219685,0.3193437589539422,0.0001
58,0.1518578568062225,0.243631641070048,0.12028961131970088,0.32585964765813613,0.0001
59,0.14847573618610183,0.25590812497668797,0.12040141059292687,0.34624592297607,0.0001
60,0.14143899789491257,0.24883008665508694,0.11744690520895852,0.33641885386572945,0.0001
61,0.13867100212094072,0.24358728362454307,0.11644873105817372,0.32834630873468185,0.0001
62,0.13950422996437395,0.2603418578704198,0.11862112912866804,0.3548223310046726,0.0001
63,0.13706293508603976,0.2409154623746872,0.11364169170459111,0.3257646295759413,0.0001
64,0.13042689840514937,0.24509454435772365,0.11528328723377651,0.33163536257214016,0.0001
65,0.12949287465640477,0.25115127282010186,0.11477901372644636,0.34206610090202755,0.0001
66,0.12770486236005635,0.2584446652068032,0.11292728119426304,0.35545624130302006,0.0001
67,0.13921230528261755,0.25087873968813157,0.11377591970894071,0.3422806047730976,0.0001
68,0.13201800849917647,0.24467229346434274,0.11180991265508863,0.33324720131026375,0.0001
69,0.12753953823408523,0.2497644623120626,0.11123225010103649,0.3421192632781135,0.0001
70,0.12472958049990913,0.2629280123445723,0.11392085254192352,0.3622661117050383,0.0001
71,0.12373279131852187,0.2566019097963969,0.11531691501537959,0.35079187485906815,0.0001
72,0.11923663540707007,0.2540900856256485,0.11203676462173462,0.34879228307141197,0.0001
73,0.11580905850444521,0.2499069886075126,0.1111259659131368,0.3424276527431276,0.0001
74,0.11338187908971464,0.2524834755394194,0.11045667694674598,0.3471679919295841,0.0001
75,0.11130097876121471,0.2642131828599506,0.10980266332626343,0.36715351541837055,0.0001
76,0.11245113591869156,0.2508010549677743,0.11062094486422008,0.3442544556326336,0.0001
77,0.11330841955813495,0.25798435343636406,0.10991386158598794,0.3566979964574178,0.0001
78,0.11486649271342661,0.25672028462092084,0.11059780998362435,0.3541352566745546,0.0001
79,0.10827740426961478,0.2592853092485004,0.1098594648970498,0.3589025189479192,0.0001
80,0.10415262845042464,0.2600088268518448,0.10927936351961559,0.36049512028694153,0.0001
81,0.10326223868828316,0.257522839638922,0.10863474839263493,0.35678155057960087,0.0001
82,0.10245043368308575,0.2586735917462243,0.10953984492354923,0.3580960664484236,0.0001
83,0.10005772365378095,0.26482804119586945,0.11058003455400467,0.3676600290669335,0.0001
84,0.0995315792305129,0.26574862334463334,0.110646343893475,0.36915013359652626,0.0001
85,0.09947180138392882,0.2565196189615462,0.1085608998934428,0.3551587462425232,0.0001
86,0.09570687070682452,0.2651275147994359,0.10840016934606764,0.3696123974190818,0.0001
87,0.09313542763521145,0.2725780929128329,0.10896028661065632,0.3816566119591395,0.0001
88,0.09228491579944437,0.2699655310975181,0.10910613089799881,0.37720512515968746,0.0001
89,0.09260605541723115,0.2572409196032418,0.10922597183121575,0.3559175332387288,0.0001
90,0.09146904548654308,0.27024877568085987,0.10979509270853466,0.3772178788979848,0.0001
91,0.0884292967520751,0.2684083614084456,0.10788112464878294,0.3754265010356903,0.0001
92,0.08775453975835404,0.26301850544081795,0.10862550636132558,0.3659471571445465,0.0001
93,0.08743396014362187,0.2812717490726047,0.10983794596460131,0.39556093017260235,0.0001
94,0.08781217764337342,0.2771078728967243,0.11021959781646729,0.3883666959073808,0.0001
95,0.10225325658336862,0.26403062376711106,0.10802573876248465,0.36803387436601853,0.0001
96,0.09955474419833778,0.2710051155752606,0.1089432363708814,0.37904635402891373,0.0001
97,0.1015301358390164,0.28620850708749557,0.1098565012216568,0.4037764933374193,0.0001
98,0.09204955292599541,0.27778487238619065,0.11191605362627241,0.38836406502458787,0.0001
99,0.08406751670620659,0.2770588729116652,0.10995103418827057,0.3884640882412593,0.0001
100,0.08313637033298418,0.2744949162006378,0.11223715047041576,0.38266674015257096,0.0001
