epoch,train_loss,val_loss,boundary_loss,mask_loss,learning_rate
1,0.48396243527531624,0.4377388610289647,,,0.0003
2,0.4135701051602761,0.36105501881012547,,,0.0003
3,0.36877100231746834,0.34155317223989046,,,0.0003
4,0.36020985965927443,0.3224751124015221,,,0.0003
5,0.34561759456992147,0.2772453071979376,,,0.0003
6,0.3293844468891621,0.28324338449881625,,,0.0003
7,0.31064057784775895,0.2757026002957271,,,0.0003
8,0.303155729174614,0.2693099459776512,,,0.0003
9,0.3089713861544927,0.2826357438014104,,,0.0003
10,0.30264548150201637,0.2767610228978671,,,0.0003
11,0.2976630931099256,0.29212643664616805,,,0.0003
12,0.29292304491003357,0.25870224833488464,,,0.0003
13,0.28869288141528765,0.28082814583411586,,,0.0003
14,0.28729548715054987,0.2678995235608174,,,0.0003
15,0.28777217008173467,0.2595637234357687,,,0.0003
16,0.2799858874330918,0.2691505276239835,,,0.0003
17,0.27700107482572395,0.25213930010795593,,,0.0003
18,0.26511879327396554,0.2840605125977443,,,0.0003
19,0.27542270546158154,0.25353874839269197,,,0.0003
20,0.26885694252947967,0.2533545929651994,,,0.0003
21,0.2685198001563549,0.2613024562597275,,,0.0003
22,0.2678774755448103,0.24160808668686792,,,0.0003
23,0.2583600909759601,0.24079201083916885,,,0.0003
24,0.2548826903104782,0.24004200788644645,,,0.0003
25,0.26748176055649914,0.24025916823974022,,,0.0003
26,0.24609035725394884,0.34310956184680647,,,0.0003
27,0.25252356516818203,0.2434672197470298,,,0.0003
28,0.2540295869112015,0.25328539999631733,,,0.0003
29,0.25572837616006533,0.24386984568375808,,,0.0003
30,0.2457838340351979,0.256898161310416,,,0.0003
31,0.23504671417176723,0.24409600863089928,,,0.0003
32,0.24030910407503445,0.27250376916848695,,,0.0003
33,0.2330202444146077,0.24261058866977692,,,0.0003
34,0.23988414679964384,0.24166292754503396,,,0.0003
35,0.2324666968236367,0.24450951012281272,,,0.0003
36,0.22773863635957242,0.23657400218340066,,,0.0003
37,0.22528551717599232,0.23992982965249282,,,0.0003
38,0.23053303969403108,0.23447313790137952,,,0.0003
39,0.22576523795723916,0.23970038042618677,,,0.0003
40,0.2170258512099584,0.2672033883058108,,,0.0003
41,0.2249142254392306,0.2608680851184405,,,0.0003
42,0.21265848589440187,0.272333773282858,,,0.0003
43,0.21388746139903864,0.2607399488870914,,,0.0003
44,0.20762347790102165,0.23942255859191602,,,0.0003
45,0.21675521209836007,0.2571367438022907,,,0.0003
46,0.22229990859826407,0.23857474097838768,,,0.0003
47,0.20745787446697553,0.24588352900284988,,,0.0003
48,0.20221566632390023,0.2416615944642287,,,0.0003
49,0.20087447986006737,0.24657088059645432,,,0.0003
50,0.20050652871529262,0.25269502057478976,,,0.0003
51,0.19975378246357042,0.25123807673270887,,,0.0003
52,0.19497416876256465,0.2432407599229079,,,0.0003
53,0.19606996240715185,0.24247138316814715,,,0.0003
54,0.2036261606340607,0.29263615493591016,,,0.0003
55,0.2054588376233975,0.2389981334026043,,,0.0003
56,0.191842778151234,0.2401175178014315,,,0.0003
57,0.18642655275762082,0.24744698519890124,,,0.0003
58,0.18860641246040663,0.25132052027262175,,,0.0003
59,0.19866032643864553,0.2554364502429962,,,0.0003
60,0.20128000105420749,0.2496691793203354,,,0.0003
61,0.1910310146709283,0.2684952994951835,,,0.0003
62,0.18685433653493722,0.23410384013102606,,,0.0003
63,0.20676863950987656,0.2727884203195572,,,0.0003
64,0.18590952182809511,0.2448774897135221,,,0.0003
65,0.17934088657299677,0.24439509556843683,,,0.0003
66,0.17526204908887547,0.24687709831274474,,,0.0003
67,0.1750687896584471,0.23762870522645804,,,0.0003
68,0.17315579435477654,0.2668116092681885,,,0.0003
69,0.17613412402570247,0.23737571560419524,,,0.0003
70,0.1739733721440037,0.24988122284412384,,,0.0003
71,0.1735623317460219,0.25205990557487196,,,0.0003
72,0.1714505437761545,0.24060594462431395,,,0.0003
73,0.17436760142445565,0.26395560113283306,,,0.0003
74,0.18524933693309625,0.306587882913076,,,0.0003
75,0.19836057256907225,0.2650392777644671,,,0.0003
76,0.18088374367604654,0.2509317191747519,,,0.0003
77,0.17000131097932655,0.23722181411889884,,,0.0003
78,0.1678423988322417,0.2315758203084652,,,0.0003
79,0.16432197292645773,0.2585652699837318,,,0.0003
80,0.16801236315319937,0.23240645229816437,,,0.0003
81,0.16721934868643681,0.25539382031330693,,,0.0003
82,0.17346486716220777,0.23642881329242998,,,0.0003
83,0.16715659592300652,0.2456613022547502,,,0.0003
84,0.16709653890381257,0.2420568810059474,,,0.0003
85,0.18991431817412377,0.242054283618927,,,0.0003
86,0.17145916918913523,0.23325380568320936,,,0.0003
87,0.163528340185682,0.24060150063954866,,,0.0003
88,0.16663073015709717,0.23800451595049638,,,0.0003
89,0.17416777970890204,0.23296921184429756,,,0.0003
90,0.1603330273802082,0.2409955389224566,,,0.0003
91,0.15954272579401732,0.24658239575532767,,,0.0003
92,0.15813167666395506,0.25027253994574916,,,0.0003
93,0.15759139265865088,0.2919616550207138,,,0.0003
94,0.15900906982521215,0.2349149871330995,,,0.0003
95,0.15940457253406445,0.2530463463985003,,,0.0003
96,0.15776292035977046,0.23403705198031205,,,0.0003
97,0.16012921823809545,0.23795479421432203,,,0.0003
98,0.16793784542630116,0.25816422127760374,,,0.0003
99,0.16671758151302735,0.28362224308344036,,,0.0003
100,0.1690965101122856,0.24413173359173995,,,0.0003
